"Year","Month","CPC","HS Code","HS Description","Destination","Quantity","Sup. Unit","Gross Wt. (Kg)","Net.Wt. (Kg)","FOB Value (ETB)","FOB Value (USD)","Total tax (ETB)","Total tax (USD)"
"2017","01","1000 100","64029900","--Other","United States","24443.0","2UN","21570.0","12663.0","5172248.45","219235.529115555","0.0","0.0"
"2017","01","1000 100","41131000","LEATHER OF GOATS OR KIDS PREPARED AFTER TANNING OR CRUSTING..","Hong Kong","","","13890.5","13743.5","5144131.7","218043.74750977","0.0","0.0"
"2017","01","1071 100","01061300","--CAMELS & OTHER CAMELIDS (CAMELIDAE)","Saudi Arabia","504.0","UN","148815.0","148815.0","5039669.47","213615.918396758","0.0","0.0"
"2017","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Taiwan, Province of China","","","57120.0","56400.0","5022077.89","212870.266020125","0.0","0.0"
"2017","01","1071 100","12079990","--OTHER","United States","","","234468.0","234000.0","4997381.21","211823.450547215","0.0","0.0"
"2017","01","1071 100","06021000","UNROOTED CUTTINGS AND SLIPS","France","3391600.0","UN","18456.0","13842.0","4958674.2","210182.78074957","0.0","0.0"
"2017","01","1000 100","41120000","LEATHER PREPARED AFTER TANNING/CRUSTING INCLU.PARCHMENT DRESSED LEATHER..","Thailand","","","3305.0","3175.0","4951285.46","209869.595035647","0.0","0.0"
"2017","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","United Arab Emirates","","","240480.0","240000.0","4826073.23","204562.237943049","0.0","0.0"
"2017","01","1000 100","07129090","---Other vegetables","India","","","7134.5","6064.37","4815480.02","204113.224709862","0.0","0.0"
"2017","01","1000 100","01022910","---OX","Somalia","353.0","UN","119870.0","119870.0","4806469.97","203731.316706369","0.0","0.0"
"2017","01","3052 505","62034300","--MEN'S OR BOYS' TROUSERS, BREECHES OF SYNTHETIC FIBRES","Germany","12334.0","UN","4414.83","3964.47","4716345.19","199911.207517739","0.0","0.0"
"2017","01","1000 100","41131000","LEATHER OF GOATS OR KIDS PREPARED AFTER TANNING OR CRUSTING..","China","","","23496.36","23229.68","4699706.22","199205.933316944","0.0","0.0"
"2017","01","1000 100","61091000","-T-SHIRTS, SINGLETS AND OTHER VESTS, OF COTTON, KNITTED OR CROCHETED","United States","143000.0","UN","16411.56","14606.8","4595762.83","194800.096218242","0.0","0.0"
"2017","01","1000 100","09024000","BLACK TEA FERMENTED/PARTLY FERMENTED,FLAVOURED OR NOT,IN PACKINGS OF >=3KG","Pakistan","","","101914.0","100600.0","4545049.71","192650.524749705","0.0","0.0"
"2017","01","1071 100","06031100","--Roses","United Arab Emirates","","","58553.0","51431.05","4525294.48","191813.161977264","0.0","0.0"
"2017","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Slovenia","","","38880.0","38400.0","4514812.43","191368.860470834","0.0","0.0"
"2017","01","3052 506","62034300","--MEN'S OR BOYS' TROUSERS, BREECHES OF SYNTHETIC FIBRES","United States","23355.0","UN","22708.89","20167.91","4477565.82","189790.092488195","0.0","0.0"
"2017","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Greece","","","76800.0","76800.0","4377609.43","185553.251922245","0.0","0.0"
"2017","01","1000 100","12101000","Hop cones (excl. ground, powdered or pellets), fresh or dried","Sudan","","","130310.0","129920.0","4309899.02","182683.218182281","0.0","0.0"
"2017","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","Somalia","","","376500.0","375000.0","4243976.28","179888.958215003","0.0","0.0"
"2017","01","1000 100","02042100","Fresh or chilled sheep carcasses and half carcasses (excl. lamb)","Saudi Arabia","","","34169.0","33604.25","4230123.19","179301.768804944","0.0","0.0"
"2017","01","1000 100","07031000","Onions and shallots, fresh or chilled","Djibouti","","","1202474.0","1177387.0","4196465.7","177875.132459033","0.0","0.0"
"2017","01","1000 100","41139000","-OTHER","China","","","23759.0","23522.6","4186431.92","177449.831724044","0.0","0.0"
"2017","01","1000 100","12074090","--OTHER","United Kingdom","","","190380.0","190000.0","4102927.45","173910.336891006","0.0","0.0"
"2017","01","1000 100","07129090","---Other vegetables","Hong Kong","","","6051.2","5139.37","4082514.08","173045.077610397","0.0","0.0"
"2017","01","1000 100","71031000","-Unworked or simply sawn or roughly shaped","United Arab Emirates","","","10.5","9.88","4051537.33","171732.069497546","0.0","0.0"
"2017","01","1071 100","44072900","--OTHER","Sudan","5168.0","M3","1818950.0","1818950.0","4007637.54","169871.293902222","0.0","0.0"
