"Year","HS Code","HS Description","Destination","Quantity","Unit","Net Mass (Kg)","FOB Value (ETB)","FOB Value (USD)"
"1998","09011100","Coffee, not roasted or decaffeinated","Cyprus","","","18000.0","294062.0","41325.22"
"1998","10089000","Other cereal, nes","Italy","","","39999.0","285624.0","40139.41"
"1998","32099000","Paints and varnishes, in an aqueous medium, nes","Djibouti","","","33000.0","284424.0","39970.77"
"1998","07133300","Dried kidney beans, incl. White pea beans, shelled","United States","","","88622.0","282779.0","39739.59"
"1998","09011100","Coffee, not roasted or decaffeinated","Lebanon","","","18000.0","282530.0","39704.6"
"1998","01060000","Other live animals, nes","Saudi Arabia","300.0","No.","120000.0","265034.0","37245.85"
"1998","12079900","Other oil seeds and oleaginous fruits, nes","United Germany","","","69538.0","261509.0","36750.47"
"1998","08045000","Guavas, mangoes and mangosteens, fresh or dried","Djibouti","","","181412.0","259205.0","36426.68"
"1998","19059090","--- other bread ,rice paper ,cakes ,etc ,nes","Djibouti","","","37980.0","256453.0","36039.94"
"1998","74040000","Copper waste and scrap","Great Britain","","","30000.0","253512.0","35626.63"
"1998","05069000","Bones and horn-cores (excl. Ossein...)","India","","","180000.0","247723.0","34813.09"
"1998","07032000","Garlic, fresh or chilled","Djibouti","","","129527.0","239103.0","33601.7"
"1998","02042100","Fresh or chilled sheep carcasses and half carcasses (excl. Lamb)","Djibouti","","","14762.0","238936.0","33578.23"
"1998","12102000","Hop cones, ground, powdered or in pellets; lupulin","Israel","","","16818.0","238788.0","33557.44"
"1998","09093000","Seeds of cumin","Saudi Arabia","","","29000.0","231103.0","32477.44"
"1998","07070000","Cucumbers and gherkins, fresh or chilled","Djibouti","","","232199.0","214093.0","30086.99"
"1998","09041100","Dried pepper (excl. Crushed or ground)","Sudan","","","10000.0","206250.0","28984.79"
"1998","06031000","Fresh cut flowers and buds","Netherlands","","","12652.0","205468.0","28874.9"
"1998","41051900","Sheep or lamb skin leather, (excl. Further prepared), nes","Djibouti","","","469.0","198708.0","27924.9"
"1998","07082000","Beans, fresh or chilled","Italy","","","33620.0","198312.0","27869.25"
"1998","13019000","Natural gums,resins,gum-resins,natural oleor'ins/balsams (excl. Gumarabi","Israel","","","13050.0","195781.0","27513.56"
"1998","02042100","Fresh or chilled sheep carcasses and half carcasses (excl. Lamb)","Kuwait","","","12500.0","194357.0","27313.44"
"1998","09101000","Ginger","United Arab Emirates","","","39967.0","194132.0","27281.82"
"1998","12079900","Other oil seeds and oleaginous fruits, nes","Spain","","","50558.0","192888.0","27107.0"
"1998","41031000","Hides and skins of goats or kids, fresh or preserved, not tanned","Hong Kong","","","1989.0","192077.0","26993.03"
"1998","64039900","Footwear with rubber... Soles, leather uppers, not covering the ankle","Great Britain","3012.0","Pair","1907.0","183722.0","25818.88"
"1998","07102200","Shelled or unshelled beans, frozen","Great Britain","","","51362.0","176032.0","24738.19"
"1998","08053000","Lemons and limes, fresh or dried","Djibouti","","","149452.0","174326.0","24498.44"
"1998","13012000","Natural gum arabic","Greece","","","14580.0","167461.0","23533.69"
"1998","05100090","--- ambergris ,castoreum,civet and musk;cantharides ;etc","United Germany","","","60.0","166265.0","23365.61"
"1998","23099000","Other preparations of a kind used in animal feeding, nes","Djibouti","","","245000.0","163775.0","23015.68"
"1998","13019000","Natural gums,resins,gum-resins,natural oleor'ins/balsams (excl. Gumarabi","France","","","15000.0","158343.0","22252.31"
"1998","13019000","Natural gums,resins,gum-resins,natural oleor'ins/balsams (excl. Gumarabi","Djibouti","","","30000.0","152376.0","21413.76"
"1998","07132000","Dried chickpeas, shelled","Israel","","","39200.0","144185.0","20262.65"
"1998","05111000","Bovine semen","Sweden","","","50.0","140952.0","19808.31"
"1998","13019000","Natural gums,resins,gum-resins,natural oleor'ins/balsams (excl. Gumarabi","Great Britain","","","15000.0","140193.0","19701.65"
"1998","09083000","Cardamoms","Israel","","","4100.0","139895.0","19659.77"
"1998","41042900","Other bovine and equine leather, tanned (excl. Leather of 41.08, 41.09)","Elsalvador","","","18425.0","136091.0","19125.19"
"1998","22041000","Champagne and sparkling wine","Djibouti","2890.0","Lit.","17940.0","134420.0","18890.36"
"1998","68022100","Marble, travertine, alabaster, cut/sawn, with flat/even surface","Bahrain","","","19723.0","133432.0","18751.51"
"1998","22059000","Vermouth and other wine of fresh grapes, flavoured: >2l containers","United States","8064.0","Lit.","13440.0","127765.0","17955.11"
